,0
148,GASKET TACH ENCL SPD100 NPRN
149,ENCLOSURE ELEC MOD TACH SPD100
150,ENCL ELEC HOFFMAN A606NF RLA/
151,GLAND HOUSING MTG 19 STD TEMP 0-750F
152,GLAND HOUSING ASSY 19 CI
153,SHCS 1/2-13UNRC-3A X 1.00
154,DOWEL PIN .375 X 1.00 LG STL
155,CAP GLD HOUSING A4625
156,CAP GLD HSG A4625 CI A278 CL40
157,HOUSING GLD LOW A4624
158,HSG GLD LWR A4624 CI A278 CL40
159,SHCS 1/2-13UNRC-3A X 1.25
160,CVB 4.0 A19-28 202 DD TG 6PT
161,VALVE CUP & STEM ASSY 23E-RLH 4.0 6PT
162,STEM CUP VALVE 0.56 4-6CVB
163,VALVE CUP 4.0 CVB
164,VALVE CUP 4.0 CVB SST 440C - PPCP 6502
165,LINKAGE ASSY RESET CVB6
166,ROD END SPF5 5/16-24
167,HHCS 5/16-18UNC-2A X 1.00 GR5
168,NUT HEX 5/16-24UNF-2B G8
169,ROD CONNECTING
170,SHSS CUP 1/4-20 X .25 STL
171,KEY LEVER COMBO TRIP
172,CLAPPER VLV LEVER DIRECT DRIVE
173,LEVER CLPPR S/T WCB PPCP #6561
174,SHAFT TRIP LEVER DIRECT DRIVE
175,LEVER SHAFT S/T WCB PPCP #
176,CLAPPER SEAL BLOCK
177,SEAL BLOCK COMBO VALVE
178,ROUND STK 3.250 SST
179,LINKAGE CVB4 DD 6PT
180,LINKAGE STAND CVB 4.00
181,BEARING GARLOCK 12DU04
182,LINKAGE STAND 3 & 4 CVB A216 WCB -6560
183,SPRING HELICAL TORSION RH
184,SHCS 1/4-20UNRC-3A X 1.25
185,SHSS 1/4-20UNC-3A X 1/2 CUP PT NYL PATCH
186,SPRING COMPRESSION
187,WASH PL 5/16 STD
188,"WASHER,PLAIN 3/8"" 18-8 STAINLESS STEEL"
189,COTTER PIN 1/8 X 1.50
190,TAPER PIN NO.2 X 1.50 STL
191,GROOVE PIN 3/8 X 1.00 (401690005)
192,GROOVE PIN 1/8 X .75 STL
193,HANDLE OPENING FULL-FLOW 6CVB
194,FLAT STK 0.500 X 1.500 CFS
195,FLAT STK 0.250 X 0.750 CFS
196,TOE PIECE SHAFT 3-4 & 6CVB
197,ROUND STK 0.749/0.748 CG  SST
198,TRUNNION PIN
199,TOE PIECE LEVER 6CVB
200,SQUARE STK 1.250 CFS
201,TRUNNION BLOCK RLH .56 DIA STEM
202,FLAT STK 1.000 X 2.000 SST
203,TRUNNION RLH
204,ROUND STK 1.125 SST
205,CONN ROD .31DIA-07.50
206,ROUND STK 0.3125 CFS
207,COLLAR SPRING 6CVB AUTO START
208,LEVER COMBO VALVE 2.02R
209,LEVER GOV. A216 WCB .25% MA X C  - #6518
210,GOVERNOR LEVER TG 1.71R
211,RETAINING RING TRUARC N5000-125
212,NIPPLE 1/2NPT X 6.50 LG SC80
213,NIPPLE 1/2NPT X 8.00 LG SC80
